room_temperature,room_humidity,lighting_intensity,room_air_quality,room_CO2,comfort_label
34.5,74.2,219.3,15.7,1302.1,Uncomfortable
19.1,45.4,629.5,142.3,1051.1,Uncomfortable
36.5,35.3,533.3,10.4,419.6,Uncomfortable
18.3,31.8,313.3,49.1,773.6,Comfortable
28.4,64.6,694.9,34.8,703.0,Uncomfortable
27.4,60.2,147.0,29.9,636.6,Uncomfortable
36.9,72.7,723.4,102.4,1322.9,Uncomfortable
36.5,49.8,428.6,46.5,1042.4,Uncomfortable
29.6,50.9,740.0,91.5,905.3,Uncomfortable
27.3,29.2,789.1,77.5,831.5,Uncomfortable
23.1,72.1,711.9,11.4,484.1,Comfortable
24.4,41.8,104.4,22.2,362.7,Comfortable
36.4,28.7,623.1,147.3,810.6,Uncomfortable
32.5,53.5,190.5,132.7,605.8,Uncomfortable
19.7,52.9,314.1,51.0,410.7,Uncomfortable
23.6,39.1,783.4,26.6,729.9,Comfortable
33.4,28.4,592.3,107.5,1368.3,Uncomfortable
22.8,36.3,204.8,77.4,1294.7,Uncomfortable
31.7,65.0,354.5,70.8,1330.8,Uncomfortable
34.9,70.6,261.2,16.2,1013.0,Uncomfortable
24.9,68.2,223.4,94.8,677.3,Uncomfortable
36.7,52.0,453.5,83.4,603.4,Uncomfortable
33.3,57.8,718.4,21.9,1021.2,Uncomfortable
30.3,36.5,433.3,113.6,698.6,Uncomfortable
25.8,34.4,176.7,114.5,623.0,Comfortable
22.0,66.2,562.0,20.6,1382.7,Uncomfortable
32.1,33.8,107.6,119.9,1092.9,Uncomfortable
23.6,49.3,443.3,24.4,695.3,Comfortable
36.7,68.0,212.6,31.8,1392.8,Uncomfortable
19.3,65.6,172.2,16.4,1252.6,Uncomfortable
22.6,38.1,639.4,141.1,555.7,Uncomfortable
26.9,58.8,720.5,100.3,1079.8,Uncomfortable
22.5,55.0,141.6,38.7,1337.7,Comfortable
32.3,57.2,502.3,137.9,400.4,Uncomfortable
26.2,73.8,305.3,20.9,1012.4,Uncomfortable
34.3,60.7,573.8,91.3,445.7,Uncomfortable
26.7,70.9,286.0,137.6,1124.2,Uncomfortable
37.3,60.3,745.3,117.1,1286.3,Uncomfortable
29.6,62.5,233.7,104.9,1235.8,Uncomfortable
34.7,39.8,377.6,108.8,983.1,Uncomfortable
29.9,32.1,766.9,96.1,1195.0,Uncomfortable
29.2,55.5,321.5,33.7,465.5,Comfortable
24.4,65.5,662.8,61.2,1004.7,Uncomfortable
32.1,55.6,747.8,11.0,351.2,Uncomfortable
35.6,70.6,281.8,106.2,1095.4,Uncomfortable
34.1,45.8,734.8,146.7,833.2,Uncomfortable
21.8,28.4,499.8,72.4,499.4,Uncomfortable
33.4,34.9,418.6,53.8,724.8,Uncomfortable
37.0,32.9,296.5,128.3,921.6,Uncomfortable
35.0,65.6,733.9,4.8,868.6,Uncomfortable
37.8,64.8,458.2,56.5,759.7,Uncomfortable
26.0,26.1,674.3,103.2,1312.4,Uncomfortable
18.7,30.3,614.7,16.0,557.7,Uncomfortable
24.5,43.6,668.7,84.1,434.9,Uncomfortable
30.7,34.8,695.4,108.3,897.2,Uncomfortable
23.9,31.2,190.2,4.4,480.9,Comfortable
28.6,48.4,119.1,17.5,677.9,Comfortable
36.6,47.0,245.7,32.1,514.2,Comfortable
30.1,36.0,286.6,125.8,1125.9,Uncomfortable
21.8,46.0,191.3,108.4,1396.9,Uncomfortable
19.0,71.8,217.3,21.1,679.8,Uncomfortable
21.5,68.6,576.5,28.7,1219.1,Uncomfortable
37.2,67.9,586.5,139.5,728.1,Uncomfortable
20.5,74.0,201.2,144.0,1072.2,Uncomfortable
35.5,69.8,108.3,43.0,1063.8,Uncomfortable
35.1,35.8,534.7,71.9,844.7,Uncomfortable
24.1,64.6,505.6,90.8,1309.7,Uncomfortable
33.2,62.2,581.1,99.2,1078.8,Uncomfortable
18.3,73.0,164.4,130.1,675.1,Uncomfortable
26.0,71.0,479.8,18.1,382.3,Comfortable
28.7,26.2,663.6,72.0,1298.1,Uncomfortable
19.3,69.2,779.5,139.3,919.4,Uncomfortable
31.9,72.7,408.7,69.3,747.3,Uncomfortable
22.1,55.3,719.4,43.0,712.8,Comfortable
27.5,50.0,481.9,91.0,682.5,Uncomfortable
25.5,26.9,287.2,83.7,525.7,Uncomfortable
19.6,46.2,279.0,145.5,1050.6,Uncomfortable
21.1,26.0,490.6,77.7,1262.2,Uncomfortable
37.0,69.4,793.9,128.9,856.2,Uncomfortable
33.1,30.4,441.7,132.8,977.6,Uncomfortable
23.0,53.9,118.5,87.7,592.6,Comfortable
33.3,58.5,635.2,28.4,589.1,Uncomfortable
25.4,35.0,262.9,74.0,1113.9,Uncomfortable
24.9,70.3,363.7,65.7,454.3,Uncomfortable
24.7,52.7,599.6,3.6,1209.5,Uncomfortable
35.9,66.4,289.8,37.1,800.9,Uncomfortable
34.1,46.7,756.2,113.9,959.7,Uncomfortable
28.7,46.4,493.2,43.9,441.1,Comfortable
30.4,29.6,247.9,52.0,702.4,Uncomfortable
18.6,31.6,735.2,0.2,1306.7,Uncomfortable
34.2,38.3,317.6,14.4,965.6,Uncomfortable
21.6,37.4,428.0,93.3,1032.8,Uncomfortable
26.7,64.4,244.5,146.1,987.2,Uncomfortable
35.0,70.1,425.1,76.3,415.3,Uncomfortable
35.1,64.5,179.2,122.6,947.7,Uncomfortable
18.1,71.2,371.3,66.1,620.3,Uncomfortable
34.1,41.7,720.4,79.9,818.5,Uncomfortable
33.7,59.2,181.7,1.6,622.8,Comfortable
33.6,66.6,553.7,107.8,889.1,Uncomfortable
28.3,56.0,669.6,47.3,1272.2,Uncomfortable
26.0,71.4,576.3,148.5,1166.9,Uncomfortable
21.4,41.1,197.2,49.7,1285.0,Comfortable
22.8,59.1,200.0,37.1,1020.3,Comfortable
25.3,26.9,501.5,31.0,454.7,Comfortable
30.4,66.1,176.1,34.2,877.4,Uncomfortable
29.4,40.9,599.4,96.9,1245.2,Uncomfortable
36.5,68.5,796.7,148.8,1274.0,Uncomfortable
30.8,30.5,412.2,100.6,527.5,Uncomfortable
23.7,71.5,735.0,107.6,668.7,Uncomfortable
37.9,27.4,701.7,29.4,376.0,Uncomfortable
30.8,32.0,368.5,92.1,1399.8,Uncomfortable
23.2,28.7,216.0,106.9,888.3,Uncomfortable
26.4,34.6,750.0,106.8,1399.8,Uncomfortable
32.0,66.8,614.5,68.6,1164.3,Uncomfortable
26.5,31.5,393.8,87.2,1207.5,Uncomfortable
37.0,33.1,431.7,57.6,986.3,Uncomfortable
35.3,37.1,460.3,35.1,1138.4,Uncomfortable
34.7,58.9,473.7,78.2,606.2,Uncomfortable
30.4,66.2,573.7,78.2,607.2,Uncomfortable
23.8,66.6,160.8,102.4,455.4,Uncomfortable
30.7,37.9,103.2,77.3,696.1,Uncomfortable
22.1,58.6,579.7,72.2,1326.6,Uncomfortable
25.2,44.0,638.5,95.7,591.2,Uncomfortable
33.6,29.0,631.7,12.7,798.4,Uncomfortable
19.8,57.1,349.0,50.5,1104.9,Uncomfortable
19.8,66.0,502.7,7.2,1291.6,Uncomfortable
37.5,49.8,603.1,18.3,637.8,Uncomfortable
32.5,49.0,524.6,10.5,788.9,Uncomfortable
34.5,49.7,239.2,142.6,653.7,Uncomfortable
21.1,31.2,156.7,36.8,913.4,Comfortable
24.3,30.5,567.8,140.3,379.0,Uncomfortable
37.9,68.0,651.2,58.0,955.8,Uncomfortable
20.8,57.1,771.5,36.5,970.7,Uncomfortable
19.0,32.8,435.0,143.7,883.0,Uncomfortable
37.2,56.6,333.8,146.9,752.9,Uncomfortable
37.7,35.8,299.4,0.9,595.9,Comfortable
21.2,73.2,432.1,54.7,683.6,Uncomfortable
20.9,57.1,593.0,49.6,639.1,Comfortable
34.1,43.4,684.8,50.2,828.9,Uncomfortable
22.4,57.5,597.0,18.1,1065.6,Uncomfortable
31.3,29.6,673.6,90.0,383.5,Uncomfortable
19.7,54.1,218.9,142.9,1001.3,Uncomfortable
30.1,43.1,632.9,34.0,1119.2,Uncomfortable
21.1,63.6,723.7,112.1,763.6,Uncomfortable
24.3,32.7,421.4,51.9,930.8,Uncomfortable
34.1,62.1,618.5,59.5,452.6,Uncomfortable
34.1,43.5,130.2,102.4,1268.4,Uncomfortable
19.8,52.1,561.5,12.2,1003.5,Uncomfortable
19.9,36.1,347.1,134.2,362.5,Uncomfortable
33.7,40.8,557.7,144.2,607.2,Uncomfortable
24.7,44.0,557.7,3.8,1298.4,Uncomfortable
27.4,45.9,354.2,5.6,703.9,Comfortable
30.2,60.5,240.3,116.1,1056.1,Uncomfortable
31.9,72.4,506.3,96.4,1192.8,Uncomfortable
31.5,72.5,111.2,98.6,884.4,Uncomfortable
31.0,36.7,684.0,148.3,417.0,Uncomfortable
30.3,60.4,757.0,30.3,1313.9,Uncomfortable
23.1,46.5,401.6,56.1,997.7,Uncomfortable
22.1,27.2,272.7,148.1,578.3,Uncomfortable
36.1,52.9,493.6,18.1,543.2,Comfortable
