room_temperature,room_humidity,lighting_intensity,room_air_quality,room_CO2,comfort_label
26.5,68.9,749.3,1.6,880.0,Uncomfortable
27.6,45.8,625.0,97.9,574.6,Uncomfortable
26.0,30.8,157.6,125.1,397.0,Uncomfortable
32.0,50.8,737.1,85.0,1019.4,Uncomfortable
25.9,36.5,542.9,114.3,1093.0,Uncomfortable
23.2,30.3,558.4,147.3,776.8,Uncomfortable
31.9,41.4,296.6,66.3,615.8,Uncomfortable
28.4,65.9,118.9,35.1,489.5,Uncomfortable
23.3,42.9,240.2,5.8,621.4,Comfortable
34.1,35.9,798.6,72.9,1398.4,Uncomfortable
31.0,63.1,729.4,131.2,934.6,Uncomfortable
29.8,54.8,549.8,141.9,976.8,Uncomfortable
33.0,48.7,540.9,0.2,1239.1,Uncomfortable
31.5,54.5,246.3,58.7,1198.7,Uncomfortable
18.6,44.1,367.9,29.7,652.4,Uncomfortable
30.4,31.0,268.2,74.4,754.0,Uncomfortable
30.6,74.3,655.1,124.1,1019.9,Uncomfortable
19.4,61.5,304.7,52.2,1138.0,Uncomfortable
22.5,63.8,705.9,140.7,808.9,Uncomfortable
28.5,29.8,515.9,32.3,506.7,Uncomfortable
19.6,47.5,743.8,8.8,1091.7,Uncomfortable
25.6,52.1,570.0,36.3,451.9,Uncomfortable
31.8,58.5,443.9,61.6,810.5,Uncomfortable
33.6,27.9,200.1,37.6,1248.1,Uncomfortable
25.3,74.1,636.4,36.9,1103.9,Uncomfortable
23.3,44.8,257.7,4.2,974.0,Uncomfortable
29.3,67.3,264.2,48.5,394.3,Uncomfortable
34.2,69.4,606.2,124.2,1232.0,Uncomfortable
23.8,69.9,151.2,93.3,1353.1,Uncomfortable
22.0,59.7,307.3,136.9,910.8,Uncomfortable
35.9,59.5,367.4,104.0,768.8,Uncomfortable
33.6,61.9,760.7,141.0,617.0,Uncomfortable
34.9,35.1,179.8,89.2,923.6,Uncomfortable
26.2,26.3,394.7,89.3,1343.8,Uncomfortable
35.5,45.9,739.6,4.6,1190.5,Uncomfortable
19.1,47.2,664.5,19.7,1072.4,Uncomfortable
22.1,30.0,746.6,137.9,1214.7,Uncomfortable
24.0,49.2,220.4,60.7,1014.5,Uncomfortable
19.6,46.1,229.6,3.1,975.2,Uncomfortable
27.5,60.1,450.6,18.8,801.8,Uncomfortable
27.0,28.5,574.1,68.5,1017.7,Uncomfortable
21.8,61.9,470.8,73.1,905.1,Uncomfortable
26.1,74.1,278.7,42.4,1110.3,Uncomfortable
21.6,65.1,363.5,84.5,487.0,Uncomfortable
20.1,29.6,358.1,85.8,1030.2,Uncomfortable
37.8,39.2,716.7,4.0,1169.5,Uncomfortable
28.7,32.1,181.2,128.1,403.4,Uncomfortable
28.5,26.0,197.5,140.5,937.5,Uncomfortable
30.9,31.7,493.3,96.3,649.6,Uncomfortable
31.9,30.7,101.9,130.2,416.9,Uncomfortable
22.9,65.1,527.5,141.7,695.3,Uncomfortable
27.8,37.2,489.7,24.3,1162.1,Uncomfortable
36.2,26.1,755.9,37.1,1384.9,Uncomfortable
27.6,42.3,492.7,81.5,673.5,Uncomfortable
28.0,45.7,757.8,32.1,1241.5,Uncomfortable
19.0,51.4,525.2,111.8,895.4,Uncomfortable
35.7,37.3,660.5,18.1,1085.8,Uncomfortable
33.0,62.4,736.3,29.9,868.6,Uncomfortable
35.3,42.2,749.0,79.7,723.8,Uncomfortable
22.2,56.2,697.5,9.8,1071.8,Uncomfortable
35.2,58.9,249.1,31.3,397.7,Uncomfortable
24.1,63.2,526.6,130.2,400.1,Uncomfortable
30.9,70.0,676.8,22.5,678.3,Uncomfortable
32.9,59.7,788.0,9.7,1274.6,Uncomfortable
32.4,58.7,303.2,148.4,660.6,Uncomfortable
