room_temperature,room_humidity,lighting_intensity,room_air_quality,room_CO2,comfort_label
31.0,32.0,256.9,45.3,1122.4,Uncomfortable
33.3,26.4,515.9,134.6,400.6,Uncomfortable
19.2,55.5,423.5,49.6,517.7,Uncomfortable
34.4,65.5,398.8,9.7,763.6,Uncomfortable
35.0,70.5,611.4,29.5,1093.2,Uncomfortable
25.7,71.4,427.3,124.3,1224.8,Uncomfortable
28.4,72.6,136.5,30.1,1133.5,Uncomfortable
37.6,66.0,663.0,35.5,1396.8,Uncomfortable
30.0,45.7,377.5,52.7,534.9,Uncomfortable
28.4,25.8,243.8,120.6,900.3,Uncomfortable
24.7,53.0,287.2,61.1,978.4,Uncomfortable
27.4,54.4,103.1,103.5,404.4,Uncomfortable
29.5,36.4,592.0,56.2,1291.9,Uncomfortable
27.5,68.2,181.2,40.9,1129.6,Uncomfortable
35.7,66.2,238.9,67.6,897.5,Uncomfortable
33.9,33.3,455.2,112.0,1121.4,Uncomfortable
25.5,25.4,582.5,121.6,1151.9,Uncomfortable
24.4,47.8,134.3,14.4,1109.7,Uncomfortable
34.3,44.0,609.1,30.5,1045.9,Uncomfortable
36.3,66.3,563.9,142.9,930.9,Uncomfortable
23.1,51.4,475.9,73.1,433.6,Uncomfortable
28.3,38.6,231.4,0.6,1046.8,Uncomfortable
31.8,48.6,312.8,24.6,731.2,Uncomfortable
37.9,65.7,317.1,27.1,548.2,Uncomfortable
22.1,39.0,472.9,142.8,928.0,Uncomfortable
20.7,74.9,727.6,82.1,1095.0,Uncomfortable
24.5,26.0,658.0,8.7,710.0,Uncomfortable
35.5,28.1,540.2,111.6,1280.6,Uncomfortable
20.9,59.8,335.5,93.6,460.6,Uncomfortable
21.4,37.9,448.9,110.9,1369.2,Uncomfortable
31.7,60.1,166.7,146.5,569.2,Uncomfortable
25.2,50.4,152.7,144.5,457.6,Uncomfortable
21.7,47.1,193.7,68.0,1042.5,Uncomfortable
37.9,41.0,140.8,75.6,911.2,Uncomfortable
19.1,70.1,392.8,69.0,506.8,Uncomfortable
18.2,40.1,297.6,58.1,516.0,Uncomfortable
23.2,58.0,123.2,66.7,507.5,Uncomfortable
34.3,50.8,339.8,78.3,883.6,Uncomfortable
20.1,48.3,202.5,1.0,1041.6,Uncomfortable
30.5,51.0,690.4,142.6,423.9,Uncomfortable
28.4,33.3,360.3,129.1,536.0,Uncomfortable
37.4,66.8,109.6,71.8,1365.2,Uncomfortable
26.4,30.0,457.2,112.2,692.3,Uncomfortable
26.7,37.6,549.5,96.6,856.8,Uncomfortable
35.1,25.2,389.7,54.3,1047.5,Uncomfortable
22.9,61.7,181.9,99.6,361.1,Uncomfortable
30.4,43.9,612.1,24.3,1000.7,Uncomfortable
35.7,50.2,320.6,114.5,388.3,Uncomfortable
32.2,50.0,649.6,74.8,945.7,Uncomfortable
23.8,67.8,527.9,110.9,500.2,Uncomfortable
36.8,74.4,268.3,38.7,1225.6,Uncomfortable
25.3,40.4,325.4,97.2,818.5,Uncomfortable
27.1,73.7,660.2,119.2,1328.3,Uncomfortable
27.9,43.8,170.5,140.3,407.8,Uncomfortable
30.3,68.6,536.4,60.9,441.1,Uncomfortable
18.3,48.8,335.7,52.3,1191.2,Uncomfortable
34.6,74.9,421.2,45.2,873.0,Uncomfortable
28.5,34.5,771.6,101.4,936.2,Uncomfortable
