room_temperature,room_humidity,lighting_intensity,room_air_quality,room_CO2,comfort_label
23.8,67.0,480.3,54.1,667.0,Uncomfortable
37.2,52.1,502.2,113.9,1351.7,Uncomfortable
30.3,39.0,540.9,1.8,1044.4,Uncomfortable
29.3,69.5,699.1,114.7,1338.2,Uncomfortable
37.3,26.0,764.3,137.8,555.6,Uncomfortable
23.0,45.9,550.7,28.1,939.6,Uncomfortable
22.8,66.6,144.6,137.4,962.1,Uncomfortable
33.6,71.9,298.7,29.7,1392.4,Uncomfortable
26.5,44.7,765.1,85.0,1387.8,Uncomfortable
36.3,49.3,327.3,75.0,1191.7,Uncomfortable
23.6,73.8,503.8,112.8,1027.1,Uncomfortable
21.1,44.7,679.8,41.0,639.8,Comfortable
33.8,61.1,253.1,93.7,686.5,Uncomfortable
33.7,51.2,464.5,112.3,1012.0,Uncomfortable
30.8,51.9,516.9,44.6,799.5,Uncomfortable
22.7,63.2,103.9,80.7,431.6,Uncomfortable
20.0,48.7,209.5,9.0,918.3,Comfortable
28.4,62.4,452.7,134.3,1284.6,Uncomfortable
36.3,66.1,423.1,14.1,512.9,Uncomfortable
30.4,72.9,448.0,47.0,1066.3,Uncomfortable
34.3,43.5,745.0,145.4,967.5,Uncomfortable
26.7,59.9,476.7,36.5,1118.2,Uncomfortable
20.3,67.1,550.8,114.6,363.2,Uncomfortable
24.3,45.4,126.5,140.1,1258.6,Uncomfortable
28.0,44.6,234.2,130.0,523.4,Uncomfortable
25.7,36.2,137.1,140.5,640.3,Comfortable
29.2,36.6,468.3,89.6,847.0,Uncomfortable
20.1,43.0,425.8,130.4,1143.5,Uncomfortable
35.8,70.8,292.2,2.6,395.6,Uncomfortable
27.4,28.7,711.4,140.8,796.0,Uncomfortable
36.6,72.1,665.9,49.9,739.9,Uncomfortable
26.1,74.9,333.4,27.4,865.5,Uncomfortable
23.0,48.1,411.0,125.3,690.7,Comfortable
37.7,27.2,439.3,126.2,781.0,Uncomfortable
36.0,51.9,114.9,145.6,940.3,Uncomfortable
31.5,60.4,199.5,34.5,776.8,Uncomfortable
30.5,45.2,577.6,2.3,862.6,Uncomfortable
29.4,36.5,500.1,93.8,1129.1,Uncomfortable
22.8,27.9,416.0,58.7,734.2,Uncomfortable
32.7,51.6,215.0,62.8,368.2,Uncomfortable
27.7,51.2,295.5,68.5,884.0,Uncomfortable
36.1,57.9,542.6,15.4,997.2,Uncomfortable
31.7,46.9,599.0,36.5,752.9,Uncomfortable
21.5,46.2,352.1,53.7,921.6,Uncomfortable
18.8,72.4,597.3,48.9,1102.3,Uncomfortable
19.5,34.9,566.9,89.8,1295.9,Uncomfortable
33.0,47.2,457.6,64.2,927.5,Uncomfortable
18.0,39.4,595.0,32.6,613.4,Uncomfortable
19.8,36.4,345.3,48.8,595.9,Comfortable
24.2,50.5,508.9,130.3,1141.1,Uncomfortable
18.7,50.5,102.5,132.8,957.5,Uncomfortable
18.5,31.9,680.9,84.5,1220.9,Uncomfortable
21.2,25.1,727.8,16.2,1149.1,Uncomfortable
18.6,57.3,783.7,100.5,1395.2,Uncomfortable
34.3,51.6,532.4,72.5,1150.5,Uncomfortable
21.8,40.2,342.1,11.9,1300.5,Comfortable
19.4,29.5,181.9,106.9,663.8,Uncomfortable
31.2,36.9,191.8,93.2,458.7,Uncomfortable
23.7,39.8,328.8,8.6,446.4,Comfortable
29.1,35.3,445.1,149.5,784.9,Uncomfortable
19.9,73.1,771.4,39.6,797.4,Uncomfortable
30.5,38.0,361.7,126.9,469.3,Uncomfortable
23.2,44.9,324.8,26.3,416.6,Comfortable
30.2,59.3,367.6,69.0,790.9,Uncomfortable
29.0,51.5,536.2,51.4,449.3,Uncomfortable
28.2,49.9,608.9,137.7,881.6,Uncomfortable
36.2,43.1,517.9,2.5,613.0,Uncomfortable
37.9,26.7,546.7,71.4,846.3,Uncomfortable
27.2,48.7,349.0,90.0,1247.2,Uncomfortable
24.5,62.7,488.5,109.4,935.7,Uncomfortable
32.9,70.0,717.9,120.5,545.5,Uncomfortable
23.7,35.2,198.6,46.4,828.8,Comfortable
37.4,58.6,548.5,1.9,669.2,Uncomfortable
31.7,46.1,403.8,49.2,353.0,Comfortable
31.8,30.2,572.9,44.6,705.7,Uncomfortable
