room_temperature,room_humidity,lighting_intensity,room_air_quality,room_CO2,comfort_label
38.7,71.0,54.2,69.2,952.1,Uncomfortable
29.0,57.4,697.9,160.9,513.6,Uncomfortable
31.4,63.5,433.4,37.6,701.8,Uncomfortable
18.5,68.8,739.3,111.0,617.0,Uncomfortable
26.8,42.3,760.7,83.1,896.0,Uncomfortable
29.0,59.5,367.6,38.7,743.2,Comfortable
26.8,43.6,463.5,96.5,499.6,Uncomfortable
27.7,55.7,665.4,48.6,903.9,Comfortable
33.5,61.4,684.8,82.6,606.1,Uncomfortable
27.1,46.5,507.5,106.7,652.5,Uncomfortable
18.4,49.9,769.8,58.1,1203.7,Uncomfortable
29.4,68.7,534.5,50.1,609.9,Comfortable
32.0,85.5,612.4,117.9,896.1,Uncomfortable
28.2,66.4,524.6,44.9,907.7,Comfortable
24.7,67.8,410.4,87.5,357.5,Uncomfortable
28.1,46.7,596.9,81.3,346.3,Uncomfortable
26.7,63.6,278.8,38.4,543.4,Comfortable
29.9,61.0,572.3,25.7,514.1,Comfortable
31.9,40.1,848.3,58.2,892.0,Uncomfortable
22.4,46.0,536.1,122.2,331.0,Uncomfortable
27.0,50.1,545.9,131.9,1146.2,Uncomfortable
28.1,48.6,301.0,62.9,587.9,Comfortable
28.9,83.8,678.1,69.2,876.3,Uncomfortable
25.9,54.3,853.0,58.8,408.9,Comfortable
26.5,24.4,606.0,107.4,354.7,Uncomfortable
21.4,52.3,508.3,42.6,778.6,Uncomfortable
28.4,70.5,53.5,108.4,1004.3,Uncomfortable
23.6,79.3,48.0,93.0,683.6,Uncomfortable
31.7,54.9,811.6,72.3,549.5,Uncomfortable
28.2,74.1,930.7,80.2,1022.6,Uncomfortable
35.2,44.7,572.4,81.1,458.5,Uncomfortable
20.6,51.0,762.7,28.0,660.7,Uncomfortable
25.5,44.5,417.2,66.6,340.8,Comfortable
22.1,48.5,267.2,11.7,923.2,Comfortable
28.7,66.3,822.7,29.8,658.6,Comfortable
28.9,77.9,795.1,55.7,1178.7,Uncomfortable
24.6,70.4,335.5,59.7,962.6,Uncomfortable
26.8,54.8,1099.8,67.1,939.3,Uncomfortable
31.3,51.5,479.3,86.1,465.4,Uncomfortable
28.7,40.2,393.4,44.0,1003.1,Comfortable
27.7,63.8,1072.9,11.3,1375.3,Uncomfortable
