room_temperature,room_humidity,lighting_intensity,room_air_quality,room_CO2,comfort_label
25.0,70.4,336.0,106.1,776.2,Comfortable
31.5,89.2,69.8,95.4,385.3,Uncomfortable
28.1,64.8,53.4,102.7,325.1,Uncomfortable
26.3,56.6,585.9,110.4,373.7,Uncomfortable
31.9,45.7,351.2,138.1,359.7,Uncomfortable
30.4,39.4,167.3,82.0,732.3,Uncomfortable
29.3,50.5,265.6,99.2,328.5,Comfortable
29.4,74.4,106.1,59.8,633.8,Uncomfortable
29.8,57.8,170.1,101.5,552.6,Comfortable
28.2,61.6,366.5,126.3,611.2,Uncomfortable
25.4,58.2,343.7,119.0,407.0,Uncomfortable
30.0,70.1,44.4,144.3,377.9,Uncomfortable
29.2,50.8,267.6,105.1,430.8,Comfortable
28.8,73.6,321.3,68.0,395.2,Comfortable
27.7,87.8,164.0,88.9,757.7,Uncomfortable
28.7,61.2,449.1,90.6,537.0,Comfortable
30.0,51.8,396.2,120.9,384.5,Uncomfortable
30.9,53.2,145.3,124.9,527.5,Uncomfortable
26.8,78.0,108.9,63.8,338.2,Uncomfortable
28.4,46.0,138.0,108.2,351.3,Uncomfortable
27.8,64.1,118.6,122.2,756.9,Uncomfortable
29.3,45.2,286.0,61.8,445.2,Comfortable
27.8,81.3,367.4,123.0,476.6,Uncomfortable
26.6,79.3,94.9,94.5,438.2,Uncomfortable
28.0,48.3,362.2,94.8,407.0,Comfortable
25.8,53.8,55.0,111.6,344.9,Uncomfortable
31.2,65.4,235.0,123.1,702.1,Uncomfortable
25.7,59.8,483.1,59.0,378.8,Comfortable
26.4,86.1,271.3,119.0,401.0,Uncomfortable
23.9,82.8,44.6,132.8,485.1,Uncomfortable
30.9,61.1,373.1,62.9,658.9,Uncomfortable
30.7,60.2,78.3,90.2,582.7,Uncomfortable
32.6,86.4,556.9,126.9,714.7,Uncomfortable
31.8,45.6,436.3,112.0,672.5,Uncomfortable
23.9,69.5,227.1,104.3,765.0,Uncomfortable
24.4,33.1,76.7,44.9,338.9,Uncomfortable
25.8,70.8,123.0,103.1,320.6,Comfortable
24.7,57.0,96.9,64.1,401.5,Uncomfortable
23.1,84.8,540.9,122.3,626.0,Uncomfortable
29.4,57.5,418.3,130.5,383.9,Uncomfortable
