room_temperature,room_humidity,lighting_intensity,room_air_quality,room_CO2,comfort_label
36.5,71.3,279.8,95.7,445.0,Uncomfortable
22.4,70.9,235.5,149.8,892.4,Uncomfortable
28.8,64.0,799.9,51.5,578.8,Uncomfortable
19.7,66.4,704.7,28.5,1112.2,Uncomfortable
26.6,37.2,122.0,37.0,640.1,Comfortable
31.1,64.4,387.9,22.3,1264.1,Uncomfortable
27.8,59.7,717.1,79.9,1209.4,Uncomfortable
22.9,32.6,779.4,6.5,696.7,Comfortable
19.4,31.3,590.4,88.1,1294.1,Uncomfortable
33.3,48.4,466.8,40.9,407.8,Comfortable
35.8,30.9,455.4,52.7,784.4,Uncomfortable
32.8,40.9,265.0,8.4,842.7,Uncomfortable
34.7,61.0,173.1,41.6,921.4,Uncomfortable
34.3,57.3,269.3,78.9,475.5,Uncomfortable
22.7,70.9,597.2,89.9,785.5,Uncomfortable
25.0,52.6,715.8,109.7,1006.5,Uncomfortable
22.0,39.4,272.8,24.1,525.9,Comfortable
23.9,71.3,379.2,109.9,1380.9,Uncomfortable
36.0,37.9,199.4,106.7,957.1,Uncomfortable
34.8,26.6,307.8,79.3,859.2,Uncomfortable
33.6,25.3,493.7,60.1,1295.3,Uncomfortable
28.9,43.9,103.6,89.0,797.7,Uncomfortable
25.1,38.5,137.3,46.6,704.4,Comfortable
36.5,33.8,317.6,147.6,1162.9,Uncomfortable
32.7,35.1,661.7,136.5,394.4,Uncomfortable
25.8,62.2,216.0,37.8,816.5,Uncomfortable
29.9,62.7,375.5,86.1,916.4,Uncomfortable
19.9,26.2,704.9,132.2,402.4,Uncomfortable
35.1,53.2,766.5,130.0,668.6,Uncomfortable
34.4,50.2,441.0,131.8,394.7,Uncomfortable
37.3,61.6,287.2,132.6,1099.1,Uncomfortable
37.0,33.9,576.8,61.8,1376.5,Uncomfortable
32.6,73.8,419.5,6.1,660.2,Uncomfortable
23.3,62.0,651.4,145.7,1110.7,Uncomfortable
27.0,46.7,757.2,60.7,434.9,Uncomfortable
30.8,62.5,382.6,38.2,775.6,Uncomfortable
23.7,45.6,467.1,100.0,1213.0,Uncomfortable
32.4,67.6,535.8,134.8,645.3,Uncomfortable
23.8,35.6,116.2,53.2,1157.5,Uncomfortable
18.6,41.7,517.1,141.4,864.4,Uncomfortable
18.2,57.3,160.3,147.2,1074.1,Uncomfortable
26.0,28.9,231.4,4.8,1129.4,Uncomfortable
18.5,37.9,623.0,145.0,378.8,Uncomfortable
35.7,41.2,478.4,115.5,1344.5,Uncomfortable
36.1,36.7,334.4,76.2,839.3,Uncomfortable
35.0,49.2,535.8,44.5,916.8,Uncomfortable
31.1,67.0,609.4,42.1,1263.5,Uncomfortable
29.3,27.5,245.7,56.4,1309.6,Uncomfortable
24.0,71.9,510.4,103.4,677.6,Uncomfortable
23.7,62.7,539.9,98.9,1015.5,Uncomfortable
25.2,70.8,618.2,22.0,1040.4,Uncomfortable
24.3,37.0,483.1,146.6,808.3,Uncomfortable
27.3,44.0,554.3,129.0,1242.7,Uncomfortable
23.1,34.7,757.1,76.0,665.0,Uncomfortable
19.6,45.3,475.7,17.3,1246.1,Uncomfortable
23.7,46.7,233.3,111.8,1011.7,Uncomfortable
21.5,52.1,330.2,71.4,1159.2,Uncomfortable
31.5,59.9,585.6,42.5,982.4,Uncomfortable
19.9,30.6,340.1,27.6,1312.7,Uncomfortable
35.0,49.0,670.9,74.5,1330.8,Uncomfortable
20.3,67.6,185.1,132.0,565.4,Uncomfortable
35.0,43.9,105.4,43.2,393.3,Comfortable
25.2,39.8,569.0,52.8,1039.9,Uncomfortable
35.8,51.1,736.7,34.8,1348.0,Uncomfortable
27.8,62.5,700.2,43.8,1271.7,Uncomfortable
31.4,57.6,786.8,39.0,1188.9,Uncomfortable
29.4,25.0,563.2,142.8,697.0,Uncomfortable
29.2,64.9,543.9,5.9,517.4,Uncomfortable
35.1,53.4,738.5,72.8,1230.2,Uncomfortable
37.8,25.1,672.2,85.3,752.0,Uncomfortable
23.1,27.0,133.2,141.6,1191.1,Uncomfortable
30.8,71.5,704.1,17.2,394.2,Uncomfortable
33.2,41.5,278.2,87.2,1159.1,Uncomfortable
32.3,53.7,629.9,38.0,773.3,Uncomfortable
31.2,54.0,242.6,39.8,1011.7,Uncomfortable
26.6,62.4,596.8,112.9,1140.0,Uncomfortable
26.5,64.3,351.3,1.8,1140.0,Uncomfortable
24.1,58.6,348.9,40.2,1164.9,Comfortable
21.6,65.5,482.4,90.3,1249.9,Uncomfortable
21.9,25.2,516.9,148.3,1137.0,Uncomfortable
33.1,41.7,174.1,45.6,1254.2,Uncomfortable
20.1,67.8,557.2,109.8,1064.6,Uncomfortable
22.8,41.7,727.1,107.5,763.5,Uncomfortable
24.2,46.0,292.4,145.7,990.6,Uncomfortable
22.1,41.9,754.9,87.3,485.7,Uncomfortable
36.1,43.9,559.3,112.1,912.0,Uncomfortable
33.7,50.1,366.1,86.9,1203.8,Uncomfortable
36.9,49.0,322.8,12.4,859.2,Uncomfortable
18.6,47.8,102.5,82.6,1000.4,Uncomfortable
19.0,64.3,298.6,149.3,416.1,Uncomfortable
29.9,54.8,734.5,26.2,362.4,Uncomfortable
24.3,65.1,688.5,69.2,1119.9,Uncomfortable
33.3,38.6,511.1,62.3,984.8,Uncomfortable
19.5,38.3,543.5,89.7,452.1,Uncomfortable
26.4,66.3,386.6,40.0,512.9,Uncomfortable
26.4,55.0,268.6,66.3,1290.3,Uncomfortable
30.6,66.8,333.2,54.6,942.9,Uncomfortable
25.4,41.5,511.9,72.9,956.4,Uncomfortable
22.4,67.2,433.4,97.7,1091.4,Uncomfortable
24.0,74.4,560.7,82.6,393.5,Uncomfortable
35.8,47.5,612.2,62.2,1240.7,Uncomfortable
21.8,72.5,517.0,107.9,365.5,Uncomfortable
33.7,74.8,712.0,28.8,1097.7,Uncomfortable
32.8,48.9,480.5,132.4,1284.9,Uncomfortable
